variant,tp,fp,fn,precision,recall,f1
Full,29,1,2,0.966667,0.935484,0.950820
NoEntityValid,30,3,1,0.909091,0.967742,0.937500
NoCitation,29,2,2,0.935484,0.935484,0.935484
NoValidator,30,4,1,0.882353,0.967742,0.923077
