variant,project,tp,fp,fn,f1,f2
Full,bigbluebutton,60,35,2,0.764331,0.874636
NoFullNameValid,bigbluebutton,60,35,2,0.764331,0.874636
NoPartialNameValid,bigbluebutton,62,49,0,0.716763,0.863510
NoCitation,bigbluebutton,60,54,2,0.681818,0.828729
NoValidator,bigbluebutton,62,66,0,0.652632,0.824468
