backend,run,linker_set,macro_f1,macro_f2
luna,run1,full_name_only,0.773553,0.724979
luna,run1,partial_name_only,0.096667,0.082276
luna,run1,coref_only,0.385025,0.291492
luna,run1,full,0.836385,0.851523
luna,run2,full_name_only,0.776187,0.726120
luna,run2,partial_name_only,0.102941,0.088735
luna,run2,coref_only,0.442739,0.358033
luna,run2,full,0.841665,0.867709
luna,run3,full_name_only,0.773526,0.720942
luna,run3,partial_name_only,0.100667,0.085772
luna,run3,coref_only,0.449559,0.356933
luna,run3,full,0.855746,0.875150
luna,average,full_name_only,0.774422,0.724014
luna,average,partial_name_only,0.100092,0.085594
luna,average,coref_only,0.425774,0.335486
luna,average,full,0.844598,0.864794
