backend,run,linker,tps_caught,unique_tps,fps,delta_f1_if_removed
luna,run1,FullName,133,108,20,+0.426891
luna,run1,PartialName,23,15,30,-0.010217
luna,run1,Coref,50,17,6,+0.051663
luna,run1,overlap:only_full_name,108,,,
luna,run1,overlap:only_partial_name,15,,,
luna,run1,overlap:only_coref,17,,,
luna,run1,overlap:shared,33,,,
luna,run2,FullName,133,93,18,+0.370923
luna,run2,PartialName,25,20,30,-0.000156
luna,run2,Coref,65,20,11,+0.051222
luna,run2,overlap:only_full_name,93,,,
luna,run2,overlap:only_partial_name,20,,,
luna,run2,overlap:only_coref,20,,,
luna,run2,overlap:shared,45,,,
luna,run3,FullName,131,101,17,+0.389022
luna,run3,PartialName,24,14,29,-0.010601
luna,run3,Coref,62,22,11,+0.068409
luna,run3,overlap:only_full_name,101,,,
luna,run3,overlap:only_partial_name,14,,,
luna,run3,overlap:only_coref,22,,,
luna,run3,overlap:shared,40,,,
luna,average,FullName,132.33,100.67,18.33,+0.395612
luna,average,PartialName,24,16.33,29.67,-0.006991
luna,average,Coref,59,19.67,9.33,+0.057098
luna,average,overlap:only_full_name,100.67,,,
luna,average,overlap:only_partial_name,16.33,,,
luna,average,overlap:only_coref,19.67,,,
luna,average,overlap:shared,39.33,,,
