backend,run,variant,macro_f1,macro_f2
luna,run1,Full,0.836385,0.851523
luna,run1,NoFullNameValid,0.817929,0.841229
luna,run1,NoPartialNameValid,0.792156,0.832312
luna,run1,NoCitation,0.721773,0.816515
luna,run1,NoValidator,0.695018,0.801207
luna,run2,Full,0.841665,0.867709
luna,run2,NoFullNameValid,0.822101,0.856839
luna,run2,NoPartialNameValid,0.794503,0.843409
luna,run2,NoCitation,0.725759,0.825571
luna,run2,NoValidator,0.691944,0.802808
luna,run3,Full,0.855746,0.875150
luna,run3,NoFullNameValid,0.838480,0.868960
luna,run3,NoPartialNameValid,0.808712,0.852687
luna,run3,NoCitation,0.740959,0.839979
luna,run3,NoValidator,0.704413,0.819258
luna,average,Full,0.844598,0.864794
luna,average,NoFullNameValid,0.826170,0.855676
luna,average,NoPartialNameValid,0.798457,0.842803
luna,average,NoCitation,0.729497,0.827355
luna,average,NoValidator,0.697125,0.807758
