backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
terra,run1,name,7,6,98,172,20
terra,run1,coref,46,1,52,36,2
terra,run1,all_combined,53,7,144,188,22
terra,run2,name,7,7,99,172,19
terra,run2,coref,42,5,64,41,1
terra,run2,all_combined,45,8,156,187,20
terra,run3,name,2,2,88,177,24
terra,run3,coref,59,2,56,32,1
terra,run3,all_combined,60,3,138,192,25
terra,average,name,5.33,5,95,173.67,21
terra,average,coref,49,2.67,57.33,36.33,1.33
terra,average,all_combined,52.67,6,146,189,22.33
luna,run1,name,5,5,80,175,37
luna,run1,coref,46,2,111,40,3
luna,run1,all_combined,49,5,184,189,38
luna,run2,name,4,4,60,176,60
luna,run2,coref,39,3,91,47,7
luna,run2,all_combined,41,5,148,190,65
luna,run3,name,1,1,42,179,78
luna,run3,coref,40,0,118,37,3
luna,run3,all_combined,41,1,149,193,79
luna,average,name,3.33,3.33,60.67,176.67,58.33
luna,average,coref,41.67,1.67,106.67,41.33,4.33
luna,average,all_combined,43.67,3.67,160.33,190.67,60.67
