variant,project,tp,fp,fn,f1,f2
Full,teammates,53,14,4,0.854839,0.898305
NoNameValid,teammates,57,77,0,0.596859,0.787293
NoCitation,teammates,56,71,1,0.608696,0.788732
NoValidator,teammates,57,123,0,0.481013,0.698529
