variant,project,tp,fp,fn,f1,f2
Full,bigbluebutton,57,13,5,0.863636,0.896226
NoFullNameValid,bigbluebutton,58,13,4,0.872180,0.909091
NoPartialNameValid,bigbluebutton,61,30,1,0.797386,0.899705
NoCitation,bigbluebutton,59,31,3,0.776316,0.872781
NoValidator,bigbluebutton,62,48,0,0.720930,0.865922
