run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,20,0,11,0.784314,0.694444,yes
run1,teastore,20,0,7,0.851064,0.781250,yes
run1,teammates,48,2,9,0.897196,0.863309,yes
run1,bigbluebutton,61,10,1,0.917293,0.956113,yes
run1,jabref,18,0,0,1.000000,1.000000,yes
run1,MACRO,,,,0.889973,0.859023,yes
run2,mediastore,20,0,11,0.784314,0.694444,
run2,teastore,19,0,8,0.826087,0.748031,
run2,teammates,51,2,6,0.927273,0.907473,
run2,bigbluebutton,61,7,1,0.938462,0.965190,
run2,jabref,18,0,0,1.000000,1.000000,
run2,MACRO,,,,0.895227,0.863028,
run3,mediastore,20,0,11,0.784314,0.694444,
run3,teastore,20,0,7,0.851064,0.781250,
run3,teammates,49,5,8,0.882883,0.868794,
run3,bigbluebutton,60,10,2,0.909091,0.943396,
run3,jabref,18,0,0,1.000000,1.000000,
run3,MACRO,,,,0.885470,0.857577,
