backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
terra,run1,Full,mediastore,1.000000,0.525424,0.688889,0.580524,0.833333,0.757576,0.000000,0.000000,0.000000,0.000000
terra,run1,FullNameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
terra,run1,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.130435,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,teastore,1.000000,0.420085,0.591633,0.475200,0.826087,0.748031,0.000000,0.000000,0.000000,0.000000
terra,run1,FullNameOnly,teastore,1.000000,0.261669,0.414798,0.307003,0.682927,0.573770,0.000000,0.000000,0.000000,0.000000
terra,run1,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,teastore,1.000000,0.165488,0.283981,0.198642,0.363636,0.263158,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,teammates,0.962094,0.764851,0.852209,0.797553,0.621951,0.513078,0.715990,0.611746,0.836924,0.794149
terra,run1,FullNameOnly,teammates,0.972172,0.729159,0.833310,0.767531,0.560510,0.448980,0.712683,0.607889,0.777707,0.709927
terra,run1,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,teammates,0.926254,0.116339,0.206715,0.140997,0.180328,0.120879,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,bigbluebutton,0.803783,0.889470,0.844458,0.870902,0.893082,0.896465,0.571429,0.454545,0.852143,0.830954
terra,run1,FullNameOnly,bigbluebutton,0.868319,0.733159,0.795035,0.756717,0.724409,0.631868,0.235294,0.161290,0.629146,0.518889
terra,run1,PartialNameOnly,bigbluebutton,0.580977,0.147809,0.235662,0.173713,0.477876,0.385714,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,bigbluebutton,0.893701,0.148463,0.254627,0.178179,0.282609,0.197568,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,jabref,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run1,FullNameOnly,jabref,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run1,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,jabref,1.000000,0.117562,0.210390,0.142756,0.086957,0.056180,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,mediastore,1.000000,0.525424,0.688889,0.580524,0.833333,0.757576,0.000000,0.000000,0.000000,0.000000
terra,run2,FullNameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
terra,run2,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.130435,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,teastore,1.000000,0.420085,0.591633,0.475200,0.826087,0.748031,0.000000,0.000000,0.000000,0.000000
terra,run2,FullNameOnly,teastore,1.000000,0.261669,0.414798,0.307003,0.682927,0.573770,0.000000,0.000000,0.000000,0.000000
terra,run2,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,teastore,1.000000,0.172560,0.294331,0.206780,0.411765,0.304348,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,teammates,0.929170,0.780907,0.848611,0.806649,0.588889,0.516569,0.347826,0.571429,0.700353,0.750042
terra,run2,FullNameOnly,teammates,0.972172,0.729159,0.833310,0.767531,0.560510,0.448980,0.712683,0.607889,0.777707,0.709927
terra,run2,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,teammates,0.948169,0.169445,0.287510,0.202749,0.238095,0.163399,0.175315,0.117282,0.308455,0.219101
terra,run2,Full,bigbluebutton,0.802850,0.884238,0.841581,0.866667,0.893082,0.896465,0.571429,0.454545,0.851659,0.830277
