variant,project,tp,fp,fn,f1,f2
Full,teastore,23,4,4,0.851852,0.851852
NoFullNameValid,teastore,23,4,4,0.851852,0.851852
NoPartialNameValid,teastore,23,4,4,0.851852,0.851852
NoCitation,teastore,23,16,4,0.696970,0.782313
NoValidator,teastore,23,16,4,0.696970,0.782313
