variant,project,tp,fp,fn,f1,f2
Full,mediastore,20,0,11,0.784314,0.694444
NoNameValid,mediastore,20,0,11,0.784314,0.694444
NoCitation,mediastore,20,2,11,0.754717,0.684932
NoValidator,mediastore,20,2,11,0.754717,0.684932
