variant,project,tp,fp,fn,f1,f2
Full,teammates,55,29,2,0.780142,0.881410
NoNameValid,teammates,56,77,1,0.589474,0.775623
NoCitation,teammates,55,103,2,0.511628,0.712435
NoValidator,teammates,56,138,1,0.446215,0.663507
