judge,rej_fp,rej_tp,keep_tp,keep_fp,d_f1,d_f2
full_name,48,3.33,149.67,17.33,-6.304500000000002,-2.4104000000000014
partial_name,48,4.33,19.67,7,-4.884500000000003,-1.6036999999999968
coref,52.67,4.67,39,1.67,-7.438000000000001,-2.2692000000000045
all_combined,143.67,8.67,186.33,26,-15.315199999999995,-6.1813
