variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2,unique_tps
Full,0.913594,0.931031,0.908967,0.911893,0.726846,0.742964,0.898253,0.910388,
FullName,0.855896,0.818405,0.856688,0.824878,0.650990,0.606504,0.853395,0.810956,137
PartialName,0.077794,0.060637,0.038254,0.027527,0.000000,0.000000,0.000000,0.000000,15
Coref,0.260833,0.187407,0.261211,0.187982,0.011688,0.007819,0.024639,0.017952,17
No knowledge,0.851390,0.835492,0.812857,0.766170,0.422032,0.466745,0.639660,0.632505,
