system,dm_p,dm_r,dm_f1,dm_f2,dc_p,dc_r,dc_f1,dc_f2
approach,0.8876,0.9436,0.9136,0.9310,0.9077,0.9147,0.9090,0.9119
Artemis,0.9297,0.7631,0.8355,0.7900,0.9412,0.7779,0.8488,0.8043
SWATTR,0.8695,0.7717,0.7990,0.7783,,,,
TransArC,,,,,0.8855,0.7753,0.8026,0.7823
