system,dm_link_f1,dm_link_f2,component_miss_rate,dc_file_f1,dc_file_f2,worst_component_f1,worst_component_f2,harmonic_component_f1,harmonic_component_f2
approach,0.9385,0.9551,0.0000,0.9061,0.9091,0.8059,0.7687,0.9279,0.9252
Artemis,0.8093,0.8282,3.2950,0.8127,0.8435,0.4684,0.5243,0.6347,0.6642
TransArC,0.7990,0.7783,7.0968,0.8026,0.7823,0.5149,0.5148,0.6756,0.6727
