variant,project,tp,fp,fn,f1,f2
Full,bigbluebutton,61,9,1,0.924242,0.959119
NoFullNameValid,bigbluebutton,61,9,1,0.924242,0.959119
NoPartialNameValid,bigbluebutton,61,30,1,0.797386,0.899705
NoCitation,bigbluebutton,61,20,1,0.853147,0.927052
NoValidator,bigbluebutton,61,39,1,0.753086,0.876437
