system,backend,run,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2,doc_to_model_component_miss_rate,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
approach (GPT-5.6-terra),gpt-5.6-terra,run1,mediastore,0.9118,1.0000,0.9538,0.9810,0.0000,0.8525,0.8814,0.8667,0.8754,0.9492,0.9790,0.7241,0.7394,0.9594,0.9623
approach (GPT-5.6-terra),gpt-5.6-terra,run1,teastore,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
approach (GPT-5.6-terra),gpt-5.6-terra,run1,teammates,0.7941,0.9474,0.8640,0.9122,0.0000,0.7954,0.7464,0.7701,0.7557,0.6358,0.5435,0.7160,0.6117,0.8070,0.7917
approach (GPT-5.6-terra),gpt-5.6-terra,run1,bigbluebutton,0.8750,0.9032,0.8889,0.8974,0.0000,0.6823,0.9300,0.7872,0.8671,0.9012,0.9148,0.4444,0.5556,0.8127,0.8360
approach (GPT-5.6-terra),gpt-5.6-terra,run1,jabref,0.9474,1.0000,0.9730,0.9890,0.0000,0.9702,1.0000,0.9849,0.9939,0.9778,0.9910,0.9231,0.9677,0.9863,0.9945
approach (GPT-5.6-terra),gpt-5.6-terra,run2,mediastore,0.9118,1.0000,0.9538,0.9810,0.0000,0.8525,0.8814,0.8667,0.8754,0.9492,0.9790,0.7241,0.7394,0.9594,0.9623
approach (GPT-5.6-terra),gpt-5.6-terra,run2,teastore,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
approach (GPT-5.6-terra),gpt-5.6-terra,run2,teammates,0.8182,0.9474,0.8780,0.9184,0.0000,0.8001,0.7439,0.7709,0.7545,0.6279,0.5347,0.7160,0.6117,0.8079,0.7908
approach (GPT-5.6-terra),gpt-5.6-terra,run2,bigbluebutton,0.8750,0.9032,0.8889,0.8974,0.0000,0.6781,0.9300,0.7843,0.8657,0.8902,0.9102,0.4444,0.5556,0.8095,0.8346
approach (GPT-5.6-terra),gpt-5.6-terra,run2,jabref,0.9000,1.0000,0.9474,0.9783,0.0000,0.8709,1.0000,0.9310,0.9712,0.9565,0.9821,0.8889,0.9524,0.9664,0.9863
