system,project,metric,sd
approach (GPT-5.6-terra),mediastore,doc_to_model_link_precision,0.000000
approach (GPT-5.6-terra),mediastore,doc_to_model_link_recall,0.000000
approach (GPT-5.6-terra),mediastore,doc_to_code_file_precision,0.000000
approach (GPT-5.6-terra),mediastore,doc_to_code_file_recall,0.000000
approach (GPT-5.6-terra),teastore,doc_to_model_link_precision,0.000000
approach (GPT-5.6-terra),teastore,doc_to_model_link_recall,0.000000
approach (GPT-5.6-terra),teastore,doc_to_code_file_precision,0.000000
approach (GPT-5.6-terra),teastore,doc_to_code_file_recall,0.000000
approach (GPT-5.6-terra),teammates,doc_to_model_link_precision,0.012166
approach (GPT-5.6-terra),teammates,doc_to_model_link_recall,0.010129
approach (GPT-5.6-terra),teammates,doc_to_code_file_precision,0.002600
approach (GPT-5.6-terra),teammates,doc_to_code_file_recall,0.002351
approach (GPT-5.6-terra),bigbluebutton,doc_to_model_link_precision,0.001146
approach (GPT-5.6-terra),bigbluebutton,doc_to_model_link_recall,0.009312
approach (GPT-5.6-terra),bigbluebutton,doc_to_code_file_precision,0.002239
approach (GPT-5.6-terra),bigbluebutton,doc_to_code_file_recall,0.008307
approach (GPT-5.6-terra),jabref,doc_to_model_link_precision,0.050023
approach (GPT-5.6-terra),jabref,doc_to_model_link_recall,0.000000
approach (GPT-5.6-terra),jabref,doc_to_code_file_precision,0.067425
approach (GPT-5.6-terra),jabref,doc_to_code_file_recall,0.000000
approach (GPT-5.6-luna),mediastore,doc_to_model_link_precision,0.001640
approach (GPT-5.6-luna),mediastore,doc_to_model_link_recall,0.018624
approach (GPT-5.6-luna),mediastore,doc_to_code_file_precision,0.003200
approach (GPT-5.6-luna),mediastore,doc_to_code_file_recall,0.019571
approach (GPT-5.6-luna),teastore,doc_to_model_link_precision,0.019185
approach (GPT-5.6-luna),teastore,doc_to_model_link_recall,0.021383
approach (GPT-5.6-luna),teastore,doc_to_code_file_precision,0.015324
approach (GPT-5.6-luna),teastore,doc_to_code_file_recall,0.024499
approach (GPT-5.6-luna),teammates,doc_to_model_link_precision,0.055147
approach (GPT-5.6-luna),teammates,doc_to_model_link_recall,0.020258
approach (GPT-5.6-luna),teammates,doc_to_code_file_precision,0.020762
approach (GPT-5.6-luna),teammates,doc_to_code_file_recall,0.026884
approach (GPT-5.6-luna),bigbluebutton,doc_to_model_link_precision,0.059996
approach (GPT-5.6-luna),bigbluebutton,doc_to_model_link_recall,0.051848
approach (GPT-5.6-luna),bigbluebutton,doc_to_code_file_precision,0.044659
approach (GPT-5.6-luna),bigbluebutton,doc_to_code_file_recall,0.053651
approach (GPT-5.6-luna),jabref,doc_to_model_link_precision,0.050023
approach (GPT-5.6-luna),jabref,doc_to_model_link_recall,0.000000
approach (GPT-5.6-luna),jabref,doc_to_code_file_precision,0.061065
approach (GPT-5.6-luna),jabref,doc_to_code_file_recall,0.000000
Artemis (GPT-5.6-terra),mediastore,doc_to_model_link_precision,0.057964
Artemis (GPT-5.6-terra),mediastore,doc_to_model_link_recall,0.000000
Artemis (GPT-5.6-terra),mediastore,doc_to_code_file_precision,0.051196
Artemis (GPT-5.6-terra),mediastore,doc_to_code_file_recall,0.000000
Artemis (GPT-5.6-terra),teastore,doc_to_model_link_precision,0.006510
Artemis (GPT-5.6-terra),teastore,doc_to_model_link_recall,0.021383
Artemis (GPT-5.6-terra),teastore,doc_to_code_file_precision,0.004717
Artemis (GPT-5.6-terra),teastore,doc_to_code_file_recall,0.015516
Artemis (GPT-5.6-terra),teammates,doc_to_model_link_precision,0.069760
Artemis (GPT-5.6-terra),teammates,doc_to_model_link_recall,0.061612
Artemis (GPT-5.6-terra),teammates,doc_to_code_file_precision,0.090346
Artemis (GPT-5.6-terra),teammates,doc_to_code_file_recall,0.061032
Artemis (GPT-5.6-terra),bigbluebutton,doc_to_model_link_precision,0.075319
Artemis (GPT-5.6-terra),bigbluebutton,doc_to_model_link_recall,0.056643
Artemis (GPT-5.6-terra),bigbluebutton,doc_to_code_file_precision,0.115762
Artemis (GPT-5.6-terra),bigbluebutton,doc_to_code_file_recall,0.017341
Artemis (GPT-5.6-terra),jabref,doc_to_model_link_precision,0.063355
Artemis (GPT-5.6-terra),jabref,doc_to_model_link_recall,0.064150
Artemis (GPT-5.6-terra),jabref,doc_to_code_file_precision,0.102853
Artemis (GPT-5.6-terra),jabref,doc_to_code_file_recall,0.002514
approach (GPT-5.6-terra),Average,doc_to_model_link_precision,0.008547
approach (GPT-5.6-terra),Average,doc_to_model_link_recall,0.003888
approach (GPT-5.6-terra),Average,doc_to_code_file_precision,0.013499
approach (GPT-5.6-terra),Average,doc_to_code_file_recall,0.002070
approach (GPT-5.6-luna),Average,doc_to_model_link_precision,0.032673
approach (GPT-5.6-luna),Average,doc_to_model_link_recall,0.016329
approach (GPT-5.6-luna),Average,doc_to_code_file_precision,0.023337
approach (GPT-5.6-luna),Average,doc_to_code_file_recall,0.012491
Artemis (GPT-5.6-terra),Average,doc_to_model_link_precision,0.015760
Artemis (GPT-5.6-terra),Average,doc_to_model_link_recall,0.024826
Artemis (GPT-5.6-terra),Average,doc_to_code_file_precision,0.008236
Artemis (GPT-5.6-terra),Average,doc_to_code_file_recall,0.007458
