project,link_p,link_r,link_f1,link_f2,component_miss_rate
mediastore,0.9118,1.0000,0.9538,0.9810,0.0000
teastore,1.0000,0.9630,0.9811,0.9701,0.0000
teammates,0.7826,0.9474,0.8571,0.9091,0.0000
bigbluebutton,0.8636,0.9194,0.8906,0.9076,0.0000
jabref,1.0000,1.0000,1.0000,1.0000,0.0000
Average (n=5),0.9116,0.9659,0.9365,0.9536,0.0000
