run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,31,3,0,0.953846,0.981013,
run1,teastore,27,2,0,0.964286,0.985401,
run1,teammates,52,22,5,0.793893,0.860927,
run1,bigbluebutton,62,11,0,0.918519,0.965732,
run1,jabref,17,0,1,0.971429,0.955056,
run1,MACRO,,,,0.920394,0.949626,
run2,mediastore,31,3,0,0.953846,0.981013,yes
run2,teastore,26,2,1,0.945455,0.955882,yes
run2,teammates,56,45,1,0.708861,0.851064,yes
run2,bigbluebutton,60,15,2,0.875912,0.928793,yes
run2,jabref,17,0,1,0.971429,0.955056,yes
run2,MACRO,,,,0.891100,0.934362,yes
run3,mediastore,30,3,1,0.937500,0.955414,
run3,teastore,27,2,0,0.964286,0.985401,
run3,teammates,56,60,1,0.647399,0.813953,
run3,bigbluebutton,62,14,0,0.898551,0.956790,
run3,jabref,18,0,0,1.000000,1.000000,
run3,MACRO,,,,0.889547,0.942312,
