run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,31,3,0,0.953846,0.981013,yes
run1,teastore,27,0,0,1.000000,1.000000,yes
run1,teammates,54,14,3,0.864000,0.912162,yes
run1,bigbluebutton,56,8,6,0.888889,0.897436,yes
run1,jabref,18,1,0,0.972973,0.989011,yes
run1,MACRO,,,,0.935942,0.955924,yes
run2,mediastore,31,3,0,0.953846,0.981013,
run2,teastore,27,0,0,1.000000,1.000000,
run2,teammates,54,12,3,0.878049,0.918367,
run2,bigbluebutton,56,8,6,0.888889,0.897436,
run2,jabref,18,2,0,0.947368,0.978261,
run2,MACRO,,,,0.933630,0.955015,
run3,mediastore,31,3,0,0.953846,0.981013,
run3,teastore,27,0,0,1.000000,1.000000,
run3,teammates,53,13,4,0.861789,0.901361,
run3,bigbluebutton,55,8,7,0.880000,0.884244,
run3,jabref,18,0,0,1.000000,1.000000,
run3,MACRO,,,,0.939127,0.953324,
