model,stage,cases_per_run,gold_in_cases_per_run,kept_per_run,tp_per_run,fp_per_run,keep_rate,gold_kept,precision
luna,full_name,221.0,163.7,203.7,162.3,41.3,0.9216,0.9919,0.7971
luna,partial_name,84.7,16.3,25.7,11.0,14.7,0.3031,0.6735,0.4286
terra,full_name,221.0,155.7,167.0,149.7,17.3,0.7557,0.9615,0.8962
terra,partial_name,79.3,24.3,26.7,19.7,7.0,0.3361,0.8082,0.7375
