project,full_cases,partial_cases,two_stage_cases,two_stage_calls,merged_head_cases,merged_head_calls,merged_sim_cases,merged_sim_calls
mediastore,31,0,31,2,31,2,136,6
teastore,25,0,25,1,25,1,89,4
teammates,97,33,130,6,130,6,213,9
bigbluebutton,42,48,90,4,90,4,145,6
jabref,20,0,20,1,20,1,21,1
TOTAL,215,81,296,14,296,14,604,26
SWATTR,188,148,187,188,0,0,0,0
