project,form,pairs,gold,gold_per_pair
TOTAL,exact whole name,215,154,0.7163
TOTAL,fuzzy whole name,9,0,0.0
TOTAL,lemma word of name,81,26,0.321
TOTAL,fuzzy name part only,299,3,0.01
mediastore,exact whole name,31,28,0.9032
mediastore,fuzzy whole name,1,0,0.0
mediastore,lemma word of name,0,0,0
mediastore,fuzzy name part only,104,1,0.0096
teastore,exact whole name,25,21,0.84
teastore,fuzzy whole name,3,0,0.0
teastore,lemma word of name,0,0,0
teastore,fuzzy name part only,61,2,0.0328
teammates,exact whole name,97,49,0.5052
teammates,fuzzy whole name,4,0,0.0
teammates,lemma word of name,33,4,0.1212
teammates,fuzzy name part only,79,0,0.0
bigbluebutton,exact whole name,42,38,0.9048
bigbluebutton,fuzzy whole name,1,0,0.0
bigbluebutton,lemma word of name,48,22,0.4583
bigbluebutton,fuzzy name part only,54,0,0.0
jabref,exact whole name,20,18,0.9
jabref,fuzzy whole name,0,0,0
jabref,lemma word of name,0,0,0
jabref,fuzzy name part only,1,0,0.0
