project,head,head_gold,sim,sim_gold,sim_adds,sim_adds_gold,sim_loses,sim_loses_gold,gold_unreached_by_either
mediastore,31,28,136,29,105,1,0,0,2
teastore,25,21,89,23,64,2,0,0,4
teammates,130,53,213,53,83,0,0,0,4
bigbluebutton,90,60,144,60,55,0,1,0,2
jabref,20,18,21,18,1,0,0,0,0
TOTAL,296,180,603,183,308,3,1,0,12
