project,arm,pairs,gold,gold_per_pair,recall
mediastore,full (ANY_CASE whole name),31,28,0.9032,0.9032
mediastore,"partial (ANY_WORD, refusal on)",0,0,0,0.0
mediastore,"partial_all (ANY_WORD, no refusal)",0,0,0,0.0
mediastore,HEAD UNION (full + partial),31,28,0.9032,0.9032
mediastore,sim_whole (fuzzy whole name),14,10,0.7143,0.3226
mediastore,sim_part (fuzzy name part),136,29,0.2132,0.9355
mediastore,SIM UNION (sim_whole + sim_part),136,29,0.2132,0.9355
mediastore,ALL PAIRS (sentence x component),518,31,0.0598,1.0
mediastore,swattr published links,18,17,0.9444,0.5484
teastore,full (ANY_CASE whole name),25,21,0.84,0.7778
teastore,"partial (ANY_WORD, refusal on)",0,0,0,0.0
teastore,"partial_all (ANY_WORD, no refusal)",0,0,0,0.0
teastore,HEAD UNION (full + partial),25,21,0.84,0.7778
teastore,sim_whole (fuzzy whole name),20,13,0.65,0.4815
teastore,sim_part (fuzzy name part),89,23,0.2584,0.8519
teastore,SIM UNION (sim_whole + sim_part),89,23,0.2584,0.8519
teastore,ALL PAIRS (sentence x component),473,27,0.0571,1.0
teastore,swattr published links,20,20,1.0,0.7407
teammates,full (ANY_CASE whole name),97,49,0.5052,0.8596
teammates,"partial (ANY_WORD, refusal on)",33,4,0.1212,0.0702
teammates,"partial_all (ANY_WORD, no refusal)",33,4,0.1212,0.0702
teammates,HEAD UNION (full + partial),130,53,0.4077,0.9298
teammates,sim_whole (fuzzy whole name),86,41,0.4767,0.7193
teammates,sim_part (fuzzy name part),213,53,0.2488,0.9298
teammates,SIM UNION (sim_whole + sim_part),213,53,0.2488,0.9298
teammates,ALL PAIRS (sentence x component),1584,57,0.036,1.0
teammates,swattr published links,81,49,0.6049,0.8596
bigbluebutton,full (ANY_CASE whole name),42,38,0.9048,0.6129
bigbluebutton,"partial (ANY_WORD, refusal on)",48,22,0.4583,0.3548
bigbluebutton,"partial_all (ANY_WORD, no refusal)",60,22,0.3667,0.3548
bigbluebutton,HEAD UNION (full + partial),90,60,0.6667,0.9677
bigbluebutton,sim_whole (fuzzy whole name),11,10,0.9091,0.1613
bigbluebutton,sim_part (fuzzy name part),144,60,0.4167,0.9677
bigbluebutton,SIM UNION (sim_whole + sim_part),144,60,0.4167,0.9677
bigbluebutton,ALL PAIRS (sentence x component),1044,62,0.0594,1.0
bigbluebutton,swattr published links,49,44,0.898,0.7097
jabref,full (ANY_CASE whole name),20,18,0.9,1.0
jabref,"partial (ANY_WORD, refusal on)",0,0,0,0.0
jabref,"partial_all (ANY_WORD, no refusal)",0,0,0,0.0
jabref,HEAD UNION (full + partial),20,18,0.9,1.0
jabref,sim_whole (fuzzy whole name),20,18,0.9,1.0
jabref,sim_part (fuzzy name part),21,18,0.8571,1.0
jabref,SIM UNION (sim_whole + sim_part),21,18,0.8571,1.0
jabref,ALL PAIRS (sentence x component),78,18,0.2308,1.0
jabref,swattr published links,20,18,0.9,1.0
TOTAL,full (ANY_CASE whole name),215,154,0.7163,0.7897
TOTAL,"partial (ANY_WORD, refusal on)",81,26,0.321,0.1333
TOTAL,"partial_all (ANY_WORD, no refusal)",93,26,0.2796,0.1333
TOTAL,HEAD UNION (full + partial),296,180,0.6081,0.9231
TOTAL,sim_whole (fuzzy whole name),151,92,0.6093,0.4718
TOTAL,sim_part (fuzzy name part),603,183,0.3035,0.9385
TOTAL,SIM UNION (sim_whole + sim_part),603,183,0.3035,0.9385
TOTAL,ALL PAIRS (sentence x component),3697,195,0.0527,1.0
TOTAL,swattr published links,188,148,0.7872,0.759
