sentence,crate,commit,date,chapter,n_crates
697,rustc_hir,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02,hir.md,2
697,rustc_middle,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02,hir.md,2
699,rustc_hir,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02,hir.md,2
699,rustc_middle,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02,hir.md,2
702,rustc_hir,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02,hir.md,2
702,rustc_middle,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02,hir.md,2
706,rustc_hir,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02,hir.md,2
706,rustc_middle,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02,hir.md,2
710,rustc_hir,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02,hir.md,2
710,rustc_middle,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02,hir.md,2
907,rustc_driver_impl,a77776cc1d7c599f4ff9355ffe01bad2e2b5bbad,2025-01-22,rustc-driver/intro.md,1
