chapter,crate,commit,date
attributes.md,rustc_codegen_llvm,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
attributes.md,rustc_middle,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
compiler-src.md,rustc_codegen_llvm,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
compiler-src.md,rustc_middle,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
diagnostics.md,rustc_lint,0eed5ab5503df59f07cc149223a3e368e334f502,2025-12-10
diagnostics.md,rustc_lint_defs,0eed5ab5503df59f07cc149223a3e368e334f502,2025-12-10
hir.md,rustc_hir,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02
hir.md,rustc_middle,9734e44b836fa66546b7acc116ad579685f5112e,2025-04-02
macro-expansion.md,rustc_codegen_llvm,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
macro-expansion.md,rustc_middle,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
mir/dataflow.md,rustc_borrowck,92799b6f89d2d9bbfcb9b11d1bac57899d0bc435,2025-04-18
mir/dataflow.md,rustc_mir_dataflow,92799b6f89d2d9bbfcb9b11d1bac57899d0bc435,2025-04-18
mir/dataflow.md,rustc_mir_transform,92799b6f89d2d9bbfcb9b11d1bac57899d0bc435,2025-04-18
mir/optimizations.md,rustc_codegen_llvm,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
mir/optimizations.md,rustc_middle,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
overview.md,rustc_codegen_llvm,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
overview.md,rustc_middle,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
parallel-rustc.md,rustc_data_structures,bee28ef7b23f48b759ce6c358a50cba5d24698d8,2026-03-12
parallel-rustc.md,rustc_monomorphize,bee28ef7b23f48b759ce6c358a50cba5d24698d8,2026-03-12
parallel-rustc.md,rustc_data_structures,4a2c7f48b52fe9ecb34d3e406b12a99ba8de4042,2025-02-11
parallel-rustc.md,rustc_data_structures,8f684c9db7092d8a0c924ba63b967db021ab9860,2025-02-11
parallel-rustc.md,rustc_data_structures,c9c7b44510425c2d594ee0b6653e68a2aead3b6d,2025-02-11
query.md,rustc_macros,a7d2a683789c1eac8e83f36cdad6ed0e25848797,2026-03-30
query.md,rustc_middle,a7d2a683789c1eac8e83f36cdad6ed0e25848797,2026-03-30
query.md,rustc_query_impl,a7d2a683789c1eac8e83f36cdad6ed0e25848797,2026-03-30
rustc-driver/intro.md,rustc_driver_impl,a77776cc1d7c599f4ff9355ffe01bad2e2b5bbad,2025-01-22
serialization.md,rustc_codegen_llvm,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
serialization.md,rustc_middle,d3473f0741a8b5c8a60b5f54a6b0a898bec27d29,2025-11-02
