variant,project,tp,fp,fn,f1,f2
Full,bigbluebutton,56,12,6,0.861538,0.886076
NoFullNameValid,bigbluebutton,57,12,5,0.870229,0.899054
NoPartialNameValid,bigbluebutton,61,42,1,0.739394,0.868946
NoCitation,bigbluebutton,59,28,3,0.791946,0.880597
NoValidator,bigbluebutton,62,57,0,0.685083,0.844687
