project,link_p,link_r,link_f1,link_f2,component_miss_rate,component_miss_count
mediastore,0.9032,0.9032,0.9032,0.9032,9.6774,1.0000
teastore,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
teammates,0.6806,0.8596,0.7597,0.8167,0.0000,0.0000
bigbluebutton,0.8451,0.9677,0.9023,0.9404,0.0000,0.0000
jabref,0.9474,1.0000,0.9730,0.9890,0.0000,0.0000
Average (n=5),0.8752,0.9461,0.9076,0.9299,1.9355,0.2000
