variant,project,tp,fp,fn,f1,f2
Full,bigbluebutton,51,3,11,0.879310,0.844371
NoNameValid,bigbluebutton,60,30,2,0.789474,0.887574
NoCitation,bigbluebutton,55,23,7,0.785714,0.843558
NoValidator,bigbluebutton,62,49,0,0.716763,0.863510
