backend,run,linker_set,macro_f1,macro_f2
terra,run1,full_name_only,0.799487,0.726894
terra,run1,partial_name_only,0.097872,0.082143
terra,run1,coref_only,0.284746,0.206572
terra,run1,full,0.889973,0.859023
terra,run2,full_name_only,0.803778,0.732950
terra,run2,partial_name_only,0.107995,0.087399
terra,run2,coref_only,0.363841,0.268291
terra,run2,full,0.895227,0.863028
terra,run3,full_name_only,0.799487,0.726894
terra,run3,partial_name_only,0.097872,0.082143
terra,run3,coref_only,0.351032,0.260838
terra,run3,full,0.885470,0.857577
terra,average,full_name_only,0.800917,0.728912
terra,average,partial_name_only,0.101247,0.083895
terra,average,coref_only,0.333206,0.245234
terra,average,full,0.890224,0.859876
