backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
terra,run1,name,9,8,98,152,11
terra,run1,coref,33,6,32,39,1
terra,run1,all_combined,38,10,119,167,12
terra,run2,name,6,6,101,155,8
terra,run2,coref,41,4,42,44,1
terra,run2,all_combined,45,8,127,169,9
terra,run3,name,9,8,98,152,11
terra,run3,coref,42,6,32,39,4
terra,run3,all_combined,47,10,118,167,15
terra,average,name,8,7.33,99,153,10
terra,average,coref,38.67,5.33,35.33,40.67,2
terra,average,all_combined,43.33,9.33,121.33,167.67,12
