backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
terra,run1,Full,0.953284,0.739156,0.806556,0.760448,0.845729,0.800388,0.464410,0.450554,0.546712,0.538493,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run1,FullNameOnly,0.972924,0.641954,0.742030,0.675212,0.756354,0.675046,0.389595,0.353836,0.489368,0.450881,-0.064526,-0.085236,-0.074815,-0.096718,-0.057344,-0.087612
terra,run1,PartialNameOnly,0.110420,0.039503,0.058189,0.045325,0.110000,0.092437,0.000000,0.000000,0.000000,0.000000,-0.748367,-0.715123,-0.464410,-0.450554,-0.546712,-0.538493
terra,run1,CorefOnly,0.960407,0.124067,0.212810,0.148803,0.267502,0.194083,0.000000,0.000000,0.000000,0.000000,-0.593746,-0.611645,-0.464410,-0.450554,-0.546712,-0.538493
terra,run2,Full,0.959018,0.738450,0.807836,0.760656,0.849325,0.800669,0.491346,0.461238,0.556012,0.546194,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run2,FullNameOnly,0.972945,0.645165,0.744157,0.678072,0.760003,0.678759,0.390257,0.354607,0.492631,0.455079,-0.063679,-0.082584,-0.101089,-0.106631,-0.063381,-0.091115
terra,run2,PartialNameOnly,0.325572,0.039923,0.060938,0.046303,0.116392,0.095468,0.000000,0.000000,0.000000,0.000000,-0.746899,-0.714353,-0.491346,-0.461238,-0.556012,-0.546194
terra,run2,CorefOnly,0.975992,0.200003,0.321754,0.235314,0.318597,0.229610,0.000000,0.000000,0.000000,0.000000,-0.486082,-0.525342,-0.491346,-0.461238,-0.556012,-0.546194
terra,run3,Full,0.932495,0.740283,0.799142,0.758610,0.847674,0.803633,0.464410,0.450554,0.546357,0.540614,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run3,FullNameOnly,0.972924,0.641954,0.742030,0.675212,0.756354,0.675046,0.389595,0.353836,0.489368,0.450881,-0.057111,-0.083398,-0.074815,-0.096718,-0.056989,-0.089733
terra,run3,PartialNameOnly,0.110420,0.039503,0.058189,0.045325,0.110000,0.092437,0.000000,0.000000,0.000000,0.000000,-0.740953,-0.713285,-0.464410,-0.450554,-0.546357,-0.540614
terra,run3,CorefOnly,0.885447,0.188414,0.297409,0.220318,0.321746,0.235198,0.000000,0.000000,0.000000,0.000000,-0.501733,-0.538292,-0.464410,-0.450554,-0.546357,-0.540614
terra,average,CorefOnly,0.940615,0.170828,0.277324,0.201478,0.302615,0.219630,0.000000,0.000000,0.000000,0.000000,-0.527187,-0.558426,-0.473389,-0.454115,-0.549694,-0.541767
terra,average,Full,0.948266,0.739296,0.804511,0.759905,0.847576,0.801563,0.473389,0.454115,0.549694,0.541767,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,average,FullNameOnly,0.972931,0.643024,0.742739,0.676165,0.757570,0.676284,0.389816,0.354093,0.490456,0.452280,-0.061772,-0.083739,-0.083573,-0.100022,-0.059238,-0.089487
terra,average,PartialNameOnly,0.182137,0.039643,0.059105,0.045651,0.112131,0.093447,0.000000,0.000000,0.000000,0.000000,-0.745406,-0.714254,-0.473389,-0.454115,-0.549694,-0.541767
