variant,project,tp,fp,fn,f1,f2
Full,teammates,52,30,5,0.748201,0.838710
NoNameValid,teammates,57,83,0,0.578680,0.774457
NoCitation,teammates,54,108,3,0.493151,0.692308
NoValidator,teammates,57,149,0,0.433460,0.656682
