variant,project,tp,fp,fn,f1,f2
Full,teammates,48,2,9,0.897196,0.863309
NoNameValid,teammates,55,77,2,0.582011,0.763889
NoCitation,teammates,53,23,4,0.796992,0.871711
NoValidator,teammates,56,87,1,0.560000,0.754717
