component,linkpair_pct,sent_n,sent_pct,dep_share,TransArc,Artemis
logic,47.0019,4,40.0000,27.8465,0.8889,1.0000
gui,34.1876,4,40.0000,1.6265,1.0000,1.0000
model,18.1335,6,60.0000,46.5842,1.0000,1.0000
preferences,0.4352,2,20.0000,17.5667,0.8000,0.0000
cli,0.1934,2,20.0000,0.0651,1.0000,1.0000
globals,0.0484,4,40.0000,6.3110,1.0000,1.0000
