model,strategy,encoding,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,positive_smell_recall_mean,positive_smell_recall_std,top_1_positive_count_mean,top_1_positive_count_std,top_5_positive_count_mean,top_5_positive_count_std,top_10_positive_count_mean,top_10_positive_count_std,recall
logistic_regression,none,openai,7,0.6902761104441778,0.059576482927050985,0.6449464401145074,0.07163743121059298,0.6476190476190476,0.07737179432986631,0.6443993893441693,0.06687531595586681,0.6476190476190476,0.07737179432986631,9.714285714285714,1.1605769149479945,15.0,0.0,15.0,0.0,0.6476190476190476
logistic_regression,class_weight,openai,7,0.6944777911164467,0.06351050796777113,0.6472252463738533,0.07522953271476063,0.6666666666666667,0.07968190728895957,0.6543155972066247,0.06858351848103375,0.6666666666666667,0.07968190728895957,10.0,1.1952286093343936,15.0,0.0,15.0,0.0,0.6666666666666667
logistic_regression,random_undersample,openai,7,0.6985594237695079,0.04928844785725726,0.6463046757164405,0.07376564072484092,0.7047619047619047,0.04856209060564559,0.6711038961038961,0.04199696007658357,0.7047619047619047,0.04856209060564559,10.571428571428571,0.7284313590846836,15.0,0.0,15.0,0.0,0.7047619047619047
random_forest,none,openai,7,0.7115246098439376,0.06608379041151728,0.7156843156843157,0.08727725915135234,0.5428571428571428,0.10942024088643862,0.6161276818419675,0.10180904779817825,0.5428571428571428,0.10942024088643862,8.142857142857142,1.6413036132965795,15.0,0.0,15.0,0.0,0.5428571428571428
random_forest,class_weight,openai,7,0.7073229291716687,0.05942874098548658,0.7112387612387613,0.08651280397546955,0.5428571428571428,0.0903507902905251,0.6144740973312403,0.08751519420766771,0.5428571428571428,0.0903507902905251,8.142857142857142,1.3552618543578767,15.0,0.0,15.0,0.0,0.5428571428571428
random_forest,random_undersample,openai,7,0.7120048019207683,0.1004933147489044,0.6616365777080063,0.11884157396650318,0.6761904761904762,0.15707069049972042,0.6657465210778416,0.12975784493044384,0.6761904761904762,0.15707069049972042,10.142857142857142,2.356060357495806,15.0,0.0,15.0,0.0,0.6761904761904762
knn,none,openai,7,0.6781512605042017,0.06012116986323344,0.6215838562145507,0.07646653367062335,0.6857142857142858,0.09233675918888248,0.6481952625321542,0.06593678560020007,0.6857142857142858,0.09233675918888248,10.285714285714286,1.385051387833237,15.0,0.0,15.0,0.0,0.6857142857142858
knn,class_weight,openai,7,0.6781512605042017,0.06012116986323344,0.6215838562145507,0.07646653367062335,0.6857142857142858,0.09233675918888248,0.6481952625321542,0.06593678560020007,0.6857142857142858,0.09233675918888248,10.285714285714286,1.385051387833237,15.0,0.0,15.0,0.0,0.6857142857142858
knn,random_undersample,openai,7,0.6615846338535415,0.06923867725847814,0.5848766779439049,0.06347264022579614,0.7714285714285714,0.12270570215928693,0.6618779493779494,0.07512214820330923,0.7714285714285714,0.12270570215928693,11.571428571428571,1.8405855323893037,15.0,0.0,15.0,0.0,0.7714285714285714
naive_bayes,none,openai,7,0.720048019207683,0.08077528008465747,0.6879993022850165,0.1116814613855884,0.6571428571428571,0.10942024088643866,0.6695353724910376,0.09812348222207058,0.6571428571428571,0.10942024088643866,9.857142857142858,1.6413036132965795,15.0,0.0,15.0,0.0,0.6571428571428571
