project,detector,text_source,encoding_method,imbalance_strategy,ml_model,run_name,accuracy,precision,recall,f1,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,random_baseline_f1,random_baseline_accuracy,random_baseline_cv_f1,f1_improvement_over_random,wilcoxon_p_value,significant_improvement,num_samples,runtime_seconds,error
inkscape,acdc,description,tfidf,none,logistic_regression,inkscape_acdc_description_tfidf_none_logistic_regression,0.8976377952755905,0.0,0.0,0.0,0.8980290507164864,0.00130076660633907,0.0,0.0,0.05263157894736842,0.8110236220472441,0.09164420485175202,-0.05263157894736842,1.0,False,2536,1.5753962993621826,
inkscape,acdc,description,tfidf,class_weight,logistic_regression,inkscape_acdc_description_tfidf_class_weight_logistic_regression,0.10236220472440945,0.10236220472440945,1.0,0.18571428571428572,0.10197094928351347,0.001300766606339065,0.18506758779941154,0.0021473171183233786,0.05263157894736842,0.8110236220472441,0.09164420485175202,0.1330827067669173,0.0390625,True,2536,1.9466140270233154,
inkscape,acdc,description,tfidf,random_undersample,logistic_regression,inkscape_acdc_description_tfidf_random_undersample_logistic_regression,0.6561679790026247,0.14615384615384616,0.48717948717948717,0.22485207100591717,0.6653743380891618,0.029283671248290438,0.24029170615081302,0.04264794065842487,0.05263157894736842,0.8110236220472441,0.09164420485175202,0.17222049205854875,0.015625,True,2536,0.22055649757385254,
inkscape,acdc,description,tfidf,none,random_forest,inkscape_acdc_description_tfidf_none_random_forest,0.8976377952755905,0.0,0.0,0.0,0.8980290507164864,0.00130076660633907,0.0,0.0,0.05263157894736842,0.8110236220472441,0.09164420485175202,-0.05263157894736842,1.0,False,2536,4.510829210281372,
inkscape,acdc,description,tfidf,class_weight,random_forest,inkscape_acdc_description_tfidf_class_weight_random_forest,0.11023622047244094,0.09893048128342247,0.9487179487179487,0.1791767554479419,0.11493350880547047,0.008335898708531889,0.1847012967420422,0.006231234568702878,0.05263157894736842,0.8110236220472441,0.09164420485175202,0.12654517650057348,0.0390625,True,2536,6.699195861816406,
inkscape,acdc,description,tfidf,random_undersample,random_forest,inkscape_acdc_description_tfidf_random_undersample_random_forest,0.6456692913385826,0.11904761904761904,0.38461538461538464,0.18181818181818182,0.6095470773663175,0.04094253616680924,0.18732432058893433,0.046307514262105824,0.05263157894736842,0.8110236220472441,0.09164420485175202,0.1291866028708134,0.0234375,True,2536,2.2712724208831787,
inkscape,acdc,description,tfidf,none,svm,inkscape_acdc_description_tfidf_none_svm,0.8976377952755905,0.0,0.0,0.0,0.8980290507164864,0.00130076660633907,0.0,0.0,0.05263157894736842,0.8110236220472441,0.09164420485175202,-0.05263157894736842,1.0,False,2536,63.945393085479736,
inkscape,acdc,description,tfidf,class_weight,svm,inkscape_acdc_description_tfidf_class_weight_svm,0.9028871391076115,0.6666666666666666,0.10256410256410256,0.17777777777777778,0.899158356193618,0.006214232278115312,0.11489466754443711,0.07699425977430104,0.05263157894736842,0.8110236220472441,0.09164420485175202,0.12514619883040937,0.34375,False,2536,63.846920013427734,
inkscape,acdc,description,tfidf,random_undersample,svm,inkscape_acdc_description_tfidf_random_undersample_svm,0.7664041994750657,0.20238095238095238,0.4358974358974359,0.2764227642276423,0.7718714014503129,0.040811742469768715,0.24789981148560616,0.03416388165123082,0.05263157894736842,0.8110236220472441,0.09164420485175202,0.22379118528027386,0.015625,True,2536,3.2082085609436035,
inkscape,acdc,description,tfidf,none,knn,inkscape_acdc_description_tfidf_none_knn,0.9002624671916011,0.6666666666666666,0.05128205128205128,0.09523809523809523,0.89859592649733,0.006825209729307781,0.07959444314124117,0.06891327475967311,0.05263157894736842,0.8110236220472441,0.09164420485175202,0.042606516290726815,0.828125,False,2536,0.25138235092163086,
