variant,project,tp,fp,fn,f1,f2
Full,teastore,21,0,6,0.875000,0.813953
NoFullNameValid,teastore,22,0,5,0.897959,0.846154
NoPartialNameValid,teastore,21,0,6,0.875000,0.813953
NoCitation,teastore,24,2,3,0.905660,0.895522
NoValidator,teastore,25,2,2,0.925926,0.925926
