backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,0.938523,0.955052,0.904455,0.912079,0.906065,0.909138,0.805862,0.768700,0.927866,0.925164
terra,FullName,0.861354,0.832307,0.913999,0.809361,0.855475,0.826628,0.698158,0.630538,0.863651,0.818880
terra,PartialName,0.095410,0.073585,0.110349,0.026510,0.042735,0.031256,0.000000,0.000000,0.000000,0.000000
terra,Coref,0.292621,0.213895,0.967313,0.163033,0.272756,0.194161,0.023375,0.015637,0.046181,0.033315
terra,No knowledge,0.862824,0.836454,0.948601,0.715295,0.791195,0.740418,0.427811,0.408420,0.524375,0.516926
luna,Full,0.892332,0.941203,0.846989,0.940479,0.889650,0.919013,0.785496,0.820990,0.919937,0.944485
luna,FullName,0.846749,0.851193,0.853015,0.847444,0.844371,0.844963,0.685066,0.673465,0.861752,0.849921
luna,PartialName,0.056683,0.041701,0.103090,0.016917,0.028957,0.020289,0.000000,0.000000,0.000000,0.000000
luna,Coref,0.324687,0.242446,0.919795,0.207382,0.327550,0.242660,0.047004,0.034897,0.064839,0.050050
luna,No knowledge,0.859048,0.857035,0.910416,0.754695,0.796758,0.766545,0.486031,0.479106,0.585224,0.592864
