backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,0.920525,0.932478,0.889083,0.914116,0.900228,0.908193,0.762311,0.742964,0.906014,0.913258
terra,FullName,0.853911,0.819577,0.902498,0.806150,0.848527,0.822019,0.650990,0.606504,0.850459,0.810244
terra,PartialName,0.074321,0.054186,0.111111,0.018313,0.031443,0.021985,0.000000,0.000000,0.000000,0.000000
terra,Coref,0.251261,0.177649,0.866077,0.156926,0.259342,0.186210,0.000000,0.000000,0.000000,0.000000
terra,No knowledge,0.847488,0.844264,0.941315,0.752953,0.817128,0.774135,0.376232,0.461370,0.626982,0.634987
luna,Full,0.865175,0.921264,0.829580,0.942041,0.879586,0.915237,0.758951,0.807911,0.891532,0.928993
luna,FullName,0.855674,0.855748,0.866929,0.847729,0.851475,0.847983,0.674390,0.669900,0.864850,0.852664
luna,PartialName,0.027586,0.021978,0.088660,0.022498,0.035889,0.026445,0.000000,0.000000,0.000000,0.000000
luna,Coref,0.435488,0.343894,0.845942,0.318133,0.457378,0.361909,0.000000,0.000000,0.000000,0.000000
luna,No knowledge,0.841665,0.867709,0.890190,0.800703,0.822677,0.805577,0.514123,0.548081,0.685623,0.700324
