backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_sentence_coverage,dc_worst_component_f1,dc_harmonic_component_f1
terra,Full,0.912627,0.930747,0.919980,0.915778,0.915274,0.914990,0.882319,0.705658,0.869693
terra,FullName,0.854204,0.816138,0.932766,0.807661,0.862265,0.827992,0.744309,0.624286,0.823393
terra,PartialName,0.078161,0.062271,0.110914,0.024591,0.040257,0.029125,0.053333,0.000000,0.000000
terra,Coref,0.315454,0.233347,0.974478,0.186181,0.299185,0.219070,0.203420,0.014286,0.044141
terra,No knowledge,0.839274,0.818423,0.947562,0.729792,0.802627,0.753844,0.782048,0.373333,0.601992
luna,Full,0.904464,0.947831,0.847061,0.923658,0.881732,0.905841,0.887459,0.691373,0.861610
luna,FullName,0.857420,0.849277,0.860941,0.822329,0.835843,0.826617,0.761990,0.624286,0.820933
luna,PartialName,0.065727,0.054170,0.205098,0.035476,0.053411,0.040971,0.077729,0.000000,0.000000
luna,Coref,0.306002,0.228278,0.925218,0.180539,0.293604,0.213218,0.211072,0.015385,0.040230
luna,No knowledge,0.855746,0.875150,0.898683,0.817125,0.840179,0.822867,0.865826,0.451705,0.652881
