backend,variant,project,dm_link_precision,dm_link_recall,dm_link_f1,dm_link_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_component_micro_f1,dc_component_micro_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,mediastore,0.911765,1.000000,0.953846,0.981013,0.852459,0.881356,0.866667,0.875421,0.949153,0.979021,0.724138,0.739437,0.959391,0.962322
terra,Full,teastore,1.000000,0.962963,0.981132,0.970149,1.000000,0.957567,0.978324,0.965763,0.981132,0.970149,0.909091,0.862069,0.983607,0.974026
terra,Full,teammates,0.809481,0.941520,0.870319,0.911625,0.872380,0.778807,0.821320,0.794955,0.631188,0.531162,0.699549,0.611746,0.810431,0.784486
terra,Full,bigbluebutton,0.848523,0.930108,0.887318,0.912471,0.797922,0.942664,0.864259,0.909650,0.924690,0.958863,0.696531,0.630252,0.885901,0.904985
terra,Full,jabref,1.000000,1.000000,1.000000,1.000000,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,Full,Average,0.913954,0.966918,0.938523,0.955052,0.904455,0.912079,0.906065,0.909138,0.897232,0.887839,0.805862,0.768700,0.927866,0.925164
terra,FullName,mediastore,0.903226,0.903226,0.903226,0.903226,0.836364,0.779661,0.807018,0.790378,0.892857,0.892857,0.654545,0.647482,0.916549,0.899001
terra,FullName,teastore,1.000000,0.777778,0.875000,0.813953,1.000000,0.735502,0.847596,0.776583,0.875000,0.813953,0.666667,0.555556,0.860215,0.793651
terra,FullName,teammates,0.813190,0.783626,0.798009,0.789287,0.874466,0.724795,0.790675,0.749442,0.559370,0.453236,0.666652,0.556135,0.753923,0.694625
terra,FullName,bigbluebutton,0.904656,0.612903,0.730537,0.655069,0.859651,0.806845,0.832331,0.816832,0.802793,0.735234,0.502924,0.393519,0.787568,0.707124
terra,FullName,jabref,1.000000,1.000000,1.000000,1.000000,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,FullName,Average,0.924214,0.815507,0.861354,0.832307,0.913999,0.809361,0.855475,0.826628,0.826004,0.779056,0.698158,0.630538,0.863651,0.818880
terra,PartialName,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,PartialName,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,PartialName,teammates,0.583333,0.035088,0.066120,0.043197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,PartialName,bigbluebutton,0.740668,0.284946,0.410929,0.324730,0.551747,0.132549,0.213676,0.156281,0.440532,0.353377,0.000000,0.000000,0.000000,0.000000
terra,PartialName,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,PartialName,Average,0.264800,0.064007,0.095410,0.073585,0.110349,0.026510,0.042735,0.031256,0.088107,0.070675,0.000000,0.000000,0.000000,0.000000
terra,Coref,mediastore,1.000000,0.096774,0.176471,0.118110,1.000000,0.101695,0.184615,0.123967,0.193548,0.130435,0.000000,0.000000,0.000000,0.000000
terra,Coref,teastore,1.000000,0.296296,0.457143,0.344828,1.000000,0.263083,0.416573,0.308560,0.457143,0.344828,0.000000,0.000000,0.000000,0.000000
terra,Coref,teammates,0.911494,0.304094,0.455423,0.350674,0.962078,0.205508,0.338472,0.243815,0.292038,0.205124,0.116877,0.078188,0.230906,0.166576
terra,Coref,bigbluebutton,1.000000,0.155914,0.268806,0.187372,0.874490,0.127316,0.213727,0.151706,0.243446,0.167986,0.000000,0.000000,0.000000,0.000000
terra,Coref,jabref,1.000000,0.055556,0.105263,0.068493,1.000000,0.117562,0.210390,0.142756,0.086957,0.056180,0.000000,0.000000,0.000000,0.000000
terra,Coref,Average,0.982299,0.181727,0.292621,0.213895,0.967313,0.163033,0.272756,0.194161,0.254627,0.180910,0.023375,0.015637,0.046181,0.033315
luna,Full,mediastore,0.911765,1.000000,0.953846,0.981013,0.852459,0.881356,0.866667,0.875421,0.949153,0.979021,0.724138,0.739437,0.959391,0.962322
luna,Full,teastore,0.911310,0.987654,0.947122,0.970816,0.992483,0.985856,0.989020,0.987087,0.947122,0.970816,0.969697,0.954023,0.994536,0.991342
luna,Full,teammates,0.579618,0.988304,0.730338,0.865775,0.750948,0.899057,0.818061,0.864716,0.748844,0.683225,0.722535,0.788117,0.823917,0.885043
luna,Full,bigbluebutton,0.872582,0.930108,0.899181,0.917163,0.762015,0.936124,0.840047,0.895141,0.917475,0.931296,0.711111,0.714286,0.888760,0.911612
luna,Full,jabref,0.871429,1.000000,0.931174,0.971248,0.877039,1.000000,0.934455,0.972698,0.942954,0.976348,0.800000,0.909091,0.933080,0.972103
luna,Full,Average,0.829341,0.981213,0.892332,0.941203,0.846989,0.940479,0.889650,0.919013,0.901109,0.908141,0.785496,0.820990,0.919937,0.944485
luna,FullName,mediastore,0.903226,0.903226,0.903226,0.903226,0.836364,0.779661,0.807018,0.790378,0.892857,0.892857,0.654545,0.647482,0.916549,0.899001
luna,FullName,teastore,0.928030,0.777778,0.845938,0.803613,0.993644,0.735502,0.845301,0.775811,0.845938,0.803613,0.666667,0.555556,0.860215,0.793651
luna,FullName,teammates,0.632426,0.888889,0.738364,0.821604,0.743281,0.863324,0.798503,0.836078,0.710607,0.636045,0.637453,0.699643,0.764042,0.797992
luna,FullName,bigbluebutton,0.904708,0.720430,0.798847,0.749260,0.799110,0.858731,0.827733,0.846027,0.850217,0.806621,0.666667,0.555556,0.826776,0.783352
luna,FullName,jabref,0.900000,1.000000,0.947368,0.978261,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,FullName,Average,0.853678,0.858065,0.846749,0.851193,0.853015,0.847444,0.844371,0.844963,0.851228,0.824256,0.685066,0.673465,0.861752,0.849921
luna,PartialName,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,PartialName,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,PartialName,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,PartialName,bigbluebutton,0.748718,0.177419,0.283415,0.208505,0.515448,0.084587,0.144785,0.101448,0.327994,0.245962,0.000000,0.000000,0.000000,0.000000
luna,PartialName,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,PartialName,Average,0.149744,0.035484,0.056683,0.041701,0.103090,0.016917,0.028957,0.020289,0.065599,0.049192,0.000000,0.000000,0.000000,0.000000
luna,Coref,mediastore,1.000000,0.193548,0.309617,0.227256,1.000000,0.197740,0.318550,0.232755,0.335884,0.250001,0.000000,0.000000,0.000000,0.000000
luna,Coref,teastore,0.903030,0.358025,0.512565,0.407112,0.991648,0.377652,0.544559,0.430277,0.512565,0.407112,0.166667,0.128205,0.190476,0.151515
luna,Coref,teammates,0.903752,0.233918,0.366557,0.273345,0.958198,0.179696,0.296879,0.213232,0.231426,0.159478,0.068351,0.046278,0.133718,0.098736
luna,Coref,bigbluebutton,0.937322,0.161290,0.274377,0.193109,0.778771,0.144103,0.240157,0.171482,0.311400,0.221393,0.000000,0.000000,0.000000,0.000000
luna,Coref,jabref,0.611111,0.092593,0.160317,0.111411,0.870355,0.137720,0.237606,0.165555,0.134444,0.091779,0.000000,0.000000,0.000000,0.000000
luna,Coref,Average,0.871043,0.207875,0.324687,0.242447,0.919795,0.207382,0.327550,0.242660,0.305144,0.225953,0.047004,0.034897,0.064839,0.050050
