backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_sentence_coverage,dc_worst_component_f1,dc_harmonic_component_f1
terra,Full,0.907629,0.929868,0.914081,0.914307,0.911398,0.912496,0.880242,0.705658,0.864209
terra,FullName,0.859574,0.819500,0.931871,0.804248,0.859271,0.824623,0.740058,0.624286,0.821733
terra,PartialName,0.080899,0.065455,0.111475,0.026684,0.043061,0.031472,0.057778,0.000000,0.000000
terra,Coref,0.215785,0.151224,0.948645,0.132808,0.225107,0.158666,0.146657,0.000000,0.000000
terra,No knowledge,0.867407,0.843788,0.952308,0.745841,0.818816,0.770530,0.805961,0.373333,0.611343
luna,Full,0.868201,0.929805,0.843270,0.939633,0.883737,0.914902,0.917295,0.686524,0.874581
luna,FullName,0.837572,0.836207,0.867123,0.841744,0.847438,0.842548,0.792425,0.657619,0.852232
luna,PartialName,0.071287,0.062718,0.100176,0.037148,0.054198,0.042496,0.080000,0.000000,0.000000
luna,Coref,0.425818,0.329905,0.849590,0.298004,0.424558,0.337476,0.342116,0.000000,0.000000
luna,No knowledge,0.836385,0.851523,0.891606,0.776840,0.805250,0.783775,0.841729,0.451705,0.652609
