variant,tp,fp,fn,precision,recall,f1
Full,27,1,0,0.964286,1.000000,0.981818
NoEntityValid,27,6,0,0.818182,1.000000,0.900000
NoCitation,27,2,0,0.931034,1.000000,0.964286
NoValidator,27,7,0,0.794118,1.000000,0.885246
