variant,project,tp,fp,fn,f1,f2
Full,mediastore,20,0,11,0.784314,0.694444
NoFullNameValid,mediastore,20,0,11,0.784314,0.694444
NoPartialNameValid,mediastore,20,0,11,0.784314,0.694444
NoCitation,mediastore,25,2,6,0.862069,0.827815
NoValidator,mediastore,25,2,6,0.862069,0.827815
