variant,project,tp,fp,fn,f1,f2
Full,mediastore,28,3,3,0.903226,0.903226
NoFullNameValid,mediastore,28,3,3,0.903226,0.903226
NoPartialNameValid,mediastore,28,3,3,0.903226,0.903226
NoCitation,mediastore,31,3,0,0.953846,0.981013
NoValidator,mediastore,31,3,0,0.953846,0.981013
