task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run1,mediastore,32,0.9062,0.9355,0.9206,results/s123ctl_extracts/luna/run1/mediastore.json,7eef8b27b5cbee50
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run1,teastore,28,0.9643,1.0000,0.9818,results/s123ctl_extracts/luna/run1/teastore.json,4be3a0595be7fbcb
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run1,teammates,75,0.7200,0.9474,0.8182,results/s123ctl_extracts/luna/run1/teammates.json,942161e66e75eb76
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run1,bigbluebutton,64,0.7969,0.8226,0.8095,results/s123ctl_extracts/luna/run1/bigbluebutton.json,a3ae2b3847b158ad
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run1,jabref,18,1.0000,1.0000,1.0000,results/s123ctl_extracts/luna/run1/jabref.json,b7083d92c5ce2e1d
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run2,mediastore,31,0.9032,0.9032,0.9032,results/s123ctl_extracts/luna/run2/mediastore.json,627e60b720471525
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run2,teastore,30,0.8667,0.9630,0.9123,results/s123ctl_extracts/luna/run2/teastore.json,0c71b4ec8aa6db29
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run2,teammates,73,0.7534,0.9649,0.8462,results/s123ctl_extracts/luna/run2/teammates.json,3e2ec14afa161a33
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run2,bigbluebutton,59,0.8644,0.8226,0.8430,results/s123ctl_extracts/luna/run2/bigbluebutton.json,a0b8287eadf17aa5
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run2,jabref,19,0.9474,1.0000,0.9730,results/s123ctl_extracts/luna/run2/jabref.json,ee17c712df14c5bc
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run3,mediastore,31,0.9032,0.9032,0.9032,results/s123ctl_extracts/luna/run3/mediastore.json,788872f3ea637ca0
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run3,teastore,29,0.8966,0.9630,0.9286,results/s123ctl_extracts/luna/run3/teastore.json,2cebab4df532fa3f
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run3,teammates,67,0.8060,0.9474,0.8710,results/s123ctl_extracts/luna/run3/teammates.json,5724af12f553edb7
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run3,bigbluebutton,65,0.7846,0.8226,0.8031,results/s123ctl_extracts/luna/run3/bigbluebutton.json,40d611d9d5711ebb
model-doc,aalinker,luna_s123ctl,gpt-5.6-luna,full,run3,jabref,19,0.9474,1.0000,0.9730,results/s123ctl_extracts/luna/run3/jabref.json,1dd9cdaac8c460d6
