task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run1,mediastore,32,0.9062,0.9355,0.9206,results/s122_extracts/luna/run1/mediastore.json,b78cfc1883dd7751
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run1,teastore,28,0.9286,0.9630,0.9455,results/s122_extracts/luna/run1/teastore.json,78b45c8f780abc23
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run1,teammates,84,0.6429,0.9474,0.7660,results/s122_extracts/luna/run1/teammates.json,3965e18ee2df9698
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run1,bigbluebutton,66,0.8030,0.8548,0.8281,results/s122_extracts/luna/run1/bigbluebutton.json,04a0708c95efbb1d
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run1,jabref,18,1.0000,1.0000,1.0000,results/s122_extracts/luna/run1/jabref.json,ca0203dfe17dfdef
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run2,mediastore,33,0.9091,0.9677,0.9375,results/s122_extracts/luna/run2/mediastore.json,38ca34b8ac69e44d
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run2,teastore,27,0.9630,0.9630,0.9630,results/s122_extracts/luna/run2/teastore.json,a56c7c10aa01c334
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run2,teammates,76,0.7105,0.9474,0.8120,results/s122_extracts/luna/run2/teammates.json,a6f1180882ff6575
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run2,bigbluebutton,69,0.7826,0.8710,0.8244,results/s122_extracts/luna/run2/bigbluebutton.json,fa4c3fe0c27b3b11
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run2,jabref,19,0.9474,1.0000,0.9730,results/s122_extracts/luna/run2/jabref.json,b0df1a51d02dcaac
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run3,mediastore,31,0.9032,0.9032,0.9032,results/s122_extracts/luna/run3/mediastore.json,59d97d2935b98c0b
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run3,teastore,31,0.8710,1.0000,0.9310,results/s122_extracts/luna/run3/teastore.json,af1fcd5fd4c8bd91
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run3,teammates,90,0.6000,0.9474,0.7347,results/s122_extracts/luna/run3/teammates.json,67b561b7f9e7c54b
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run3,bigbluebutton,60,0.9000,0.8710,0.8852,results/s122_extracts/luna/run3/bigbluebutton.json,80a5f47185856ab7
model-doc,aalinker,luna_s122,gpt-5.6-luna,full,run3,jabref,18,1.0000,1.0000,1.0000,results/s122_extracts/luna/run3/jabref.json,4310a8fef0028c76
