task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run1,mediastore,34,0.9118,1.0000,0.9538,results/s110_extracts/luna/run1/mediastore.json,2178da33ae47d383
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run1,teastore,30,0.9000,1.0000,0.9474,results/s110_extracts/luna/run1/teastore.json,abd5c7ff70346236
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run1,teammates,92,0.5978,0.9649,0.7383,results/s110_extracts/luna/run1/teammates.json,233a255ad6012585
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run1,bigbluebutton,72,0.8056,0.9355,0.8657,results/s110_extracts/luna/run1/bigbluebutton.json,8192a446fb55e1a0
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run1,jabref,21,0.8571,1.0000,0.9231,results/s110_extracts/luna/run1/jabref.json,505872a03f059b1b
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run2,mediastore,34,0.9118,1.0000,0.9538,results/s110_extracts/luna/run2/mediastore.json,3479ea9d408935a3
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run2,teastore,27,0.9630,0.9630,0.9630,results/s110_extracts/luna/run2/teastore.json,b0b8519da723bb1a
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run2,teammates,97,0.5876,1.0000,0.7403,results/s110_extracts/luna/run2/teammates.json,b663b51f2e902fc6
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run2,bigbluebutton,67,0.8955,0.9677,0.9302,results/s110_extracts/luna/run2/bigbluebutton.json,a561420733dd5cd9
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run2,jabref,20,0.9000,1.0000,0.9474,results/s110_extracts/luna/run2/jabref.json,9efbff63d7ae044e
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run3,mediastore,34,0.9118,1.0000,0.9538,results/s110_extracts/luna/run3/mediastore.json,273f1cde3d605137
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run3,teastore,31,0.8710,1.0000,0.9310,results/s110_extracts/luna/run3/teastore.json,bb37d79fccf1d314
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run3,teammates,103,0.5534,1.0000,0.7125,results/s110_extracts/luna/run3/teammates.json,84f0a9d66289b51c
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run3,bigbluebutton,60,0.9167,0.8871,0.9016,results/s110_extracts/luna/run3/bigbluebutton.json,ad0cc4822a936229
model-doc,aalinker,luna_s110,gpt-5.6-luna,full,run3,jabref,21,0.8571,1.0000,0.9231,results/s110_extracts/luna/run3/jabref.json,deab257ca40ffa2d
