task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run1,mediastore,32,0.9062,0.9355,0.9206,results/s123gctl_extracts/luna/run1/mediastore.json,ac0f163121892685
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run1,teastore,29,0.9310,1.0000,0.9643,results/s123gctl_extracts/luna/run1/teastore.json,829f2e6be9e390b8
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run1,teammates,89,0.6067,0.9474,0.7397,results/s123gctl_extracts/luna/run1/teammates.json,4d7264658f29d07b
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run1,bigbluebutton,61,0.8361,0.8226,0.8293,results/s123gctl_extracts/luna/run1/bigbluebutton.json,60dad95c4d70140a
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run1,jabref,18,1.0000,1.0000,1.0000,results/s123gctl_extracts/luna/run1/jabref.json,180ad3c6366127ad
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run2,mediastore,32,0.9062,0.9355,0.9206,results/s123gctl_extracts/luna/run2/mediastore.json,9c6f01de7e2a6ca3
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run2,teastore,27,0.9630,0.9630,0.9630,results/s123gctl_extracts/luna/run2/teastore.json,4b2b3e28b491ea9c
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run2,teammates,89,0.6067,0.9474,0.7397,results/s123gctl_extracts/luna/run2/teammates.json,21de4945ac8e4648
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run2,bigbluebutton,67,0.7463,0.8065,0.7752,results/s123gctl_extracts/luna/run2/bigbluebutton.json,13f4ab2696dc3391
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run2,jabref,19,0.9474,1.0000,0.9730,results/s123gctl_extracts/luna/run2/jabref.json,3a037e5160638371
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run3,mediastore,29,1.0000,0.9355,0.9667,results/s123gctl_extracts/luna/run3/mediastore.json,98e59aeef8460f12
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run3,teastore,28,0.9286,0.9630,0.9455,results/s123gctl_extracts/luna/run3/teastore.json,1dea773fb8dcf593
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run3,teammates,83,0.6265,0.9123,0.7429,results/s123gctl_extracts/luna/run3/teammates.json,0d4aad06347b307c
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run3,bigbluebutton,64,0.8281,0.8548,0.8413,results/s123gctl_extracts/luna/run3/bigbluebutton.json,166b6376ab8eea73
model-doc,aalinker,luna_s123gctl,gpt-5.6-luna,full,run3,jabref,18,1.0000,1.0000,1.0000,results/s123gctl_extracts/luna/run3/jabref.json,49ffb9288dfc729d
