task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run1,mediastore,34,0.9118,1.0000,0.9538,results/s122_extracts/terra/run1/mediastore.json,a8b5ab3e28677bad
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run1,teastore,26,1.0000,0.9630,0.9811,results/s122_extracts/terra/run1/teastore.json,e0ff220e317be458
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run1,teammates,68,0.7794,0.9298,0.8480,results/s122_extracts/terra/run1/teammates.json,740995cc2b095183
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run1,bigbluebutton,64,0.8281,0.8548,0.8413,results/s122_extracts/terra/run1/bigbluebutton.json,cd4b9829d5a935f1
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run1,jabref,19,0.9474,1.0000,0.9730,results/s122_extracts/terra/run1/jabref.json,80e37891326ab999
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run2,mediastore,34,0.9118,1.0000,0.9538,results/s122_extracts/terra/run2/mediastore.json,11492612d78785be
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run2,teastore,26,1.0000,0.9630,0.9811,results/s122_extracts/terra/run2/teastore.json,eae9e3f381fd111a
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run2,teammates,58,0.8966,0.9123,0.9043,results/s122_extracts/terra/run2/teammates.json,f88e727de506128b
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run2,bigbluebutton,65,0.8615,0.9032,0.8819,results/s122_extracts/terra/run2/bigbluebutton.json,8264a391ccf501d2
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run2,jabref,20,0.9000,1.0000,0.9474,results/s122_extracts/terra/run2/jabref.json,240d08f2e26ac7f1
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run3,mediastore,34,0.9118,1.0000,0.9538,results/s122_extracts/terra/run3/mediastore.json,00ee081edf426c15
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run3,teastore,26,1.0000,0.9630,0.9811,results/s122_extracts/terra/run3/teastore.json,46dbbd3242989e20
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run3,teammates,59,0.8814,0.9123,0.8966,results/s122_extracts/terra/run3/teammates.json,d219bc1af2f5cd98
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run3,bigbluebutton,63,0.8571,0.8710,0.8640,results/s122_extracts/terra/run3/bigbluebutton.json,f5d19926c4d7bfa6
model-doc,aalinker,terra_s122,gpt-5.6-terra,full,run3,jabref,19,0.9474,1.0000,0.9730,results/s122_extracts/terra/run3/jabref.json,84bfa75daf00e2b1
