task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run1,mediastore,34,0.9118,1.0000,0.9538,results/s110ctl_extracts/terra/run1/mediastore.json,fbe1073512baeee8
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run1,teastore,26,1.0000,0.9630,0.9811,results/s110ctl_extracts/terra/run1/teastore.json,952258828d921d28
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run1,teammates,64,0.8125,0.9123,0.8595,results/s110ctl_extracts/terra/run1/teammates.json,57eb21449f348ac8
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run1,bigbluebutton,68,0.8235,0.9032,0.8615,results/s110ctl_extracts/terra/run1/bigbluebutton.json,9d85b9984bb5f362
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run1,jabref,18,1.0000,1.0000,1.0000,results/s110ctl_extracts/terra/run1/jabref.json,50d5b26f95d46a59
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run2,mediastore,34,0.9118,1.0000,0.9538,results/s110ctl_extracts/terra/run2/mediastore.json,c9efa2a0478aac19
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run2,teastore,26,1.0000,0.9630,0.9811,results/s110ctl_extracts/terra/run2/teastore.json,f7483bf79712c020
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run2,teammates,62,0.8387,0.9123,0.8739,results/s110ctl_extracts/terra/run2/teammates.json,48824675e00d4489
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run2,bigbluebutton,71,0.8169,0.9355,0.8722,results/s110ctl_extracts/terra/run2/bigbluebutton.json,1ce4c625fcb784c1
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run2,jabref,19,0.9474,1.0000,0.9730,results/s110ctl_extracts/terra/run2/jabref.json,1f75b6c81ec2fcbb
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run3,mediastore,34,0.9118,1.0000,0.9538,results/s110ctl_extracts/terra/run3/mediastore.json,7aaf20ce05bd9e34
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run3,teastore,26,1.0000,0.9630,0.9811,results/s110ctl_extracts/terra/run3/teastore.json,fa4b483b2567f581
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run3,teammates,59,0.8305,0.8596,0.8448,results/s110ctl_extracts/terra/run3/teammates.json,1e38c9301c5a5a76
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run3,bigbluebutton,73,0.8082,0.9516,0.8741,results/s110ctl_extracts/terra/run3/bigbluebutton.json,5554320c7474821f
model-doc,aalinker,terra_s110ctl,gpt-5.6-terra,full,run3,jabref,19,0.9474,1.0000,0.9730,results/s110ctl_extracts/terra/run3/jabref.json,4c55f88f6ea49e8d
