task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run1,mediastore,34,0.9118,1.0000,0.9538,results/s92actl_extracts/terra/run1/mediastore.json,cd2e89d9b3c9ebae
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run1,teastore,27,1.0000,1.0000,1.0000,results/s92actl_extracts/terra/run1/teastore.json,d4019029139b0797
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run1,teammates,69,0.7246,0.8772,0.7937,results/s92actl_extracts/terra/run1/teammates.json,610c4510a5a8f9c7
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run1,bigbluebutton,69,0.8116,0.9032,0.8550,results/s92actl_extracts/terra/run1/bigbluebutton.json,53260520e73ce675
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run1,jabref,18,1.0000,1.0000,1.0000,results/s92actl_extracts/terra/run1/jabref.json,fc212646d50a614b
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run2,mediastore,34,0.9118,1.0000,0.9538,results/s92actl_extracts/terra/run2/mediastore.json,36ab3708cc3a8000
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run2,teastore,26,1.0000,0.9630,0.9811,results/s92actl_extracts/terra/run2/teastore.json,e5bbe905411e8fe3
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run2,teammates,69,0.7391,0.8947,0.8095,results/s92actl_extracts/terra/run2/teammates.json,6bbb29abc2f0216b
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run2,bigbluebutton,70,0.8000,0.9032,0.8485,results/s92actl_extracts/terra/run2/bigbluebutton.json,6063a33681fc6940
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run2,jabref,18,1.0000,1.0000,1.0000,results/s92actl_extracts/terra/run2/jabref.json,a66d5a13eee98a56
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run3,mediastore,34,0.9118,1.0000,0.9538,results/s92actl_extracts/terra/run3/mediastore.json,866cf056912ee09a
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run3,teastore,27,1.0000,1.0000,1.0000,results/s92actl_extracts/terra/run3/teastore.json,627a94d5bee8680c
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run3,teammates,65,0.7692,0.8772,0.8197,results/s92actl_extracts/terra/run3/teammates.json,1a81d8a612f332e2
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run3,bigbluebutton,68,0.8088,0.8871,0.8462,results/s92actl_extracts/terra/run3/bigbluebutton.json,77b13974a07d5398
model-doc,aalinker,terra_s92actl,gpt-5.6-terra,full,run3,jabref,19,0.9474,1.0000,0.9730,results/s92actl_extracts/terra/run3/jabref.json,56e237769fef77d3
