task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run1,mediastore,34,0.9118,1.0000,0.9538,results/s121ctl_extracts/luna/run1/mediastore.json,96e95ffa9d25d5c7
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run1,teastore,26,1.0000,0.9630,0.9811,results/s121ctl_extracts/luna/run1/teastore.json,67294ce69d412b72
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run1,teammates,69,0.7391,0.8947,0.8095,results/s121ctl_extracts/luna/run1/teammates.json,3bdc3319bcc1a3a7
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run1,bigbluebutton,73,0.7808,0.9194,0.8444,results/s121ctl_extracts/luna/run1/bigbluebutton.json,9be0cbbe39c0c4e0
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run1,jabref,18,1.0000,1.0000,1.0000,results/s121ctl_extracts/luna/run1/jabref.json,d14ba5c8dd82c14d
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run2,mediastore,33,0.9091,0.9677,0.9375,results/s121ctl_extracts/luna/run2/mediastore.json,a29b806aeb097ad0
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run2,teastore,28,0.9286,0.9630,0.9455,results/s121ctl_extracts/luna/run2/teastore.json,7014cf45d22370e1
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run2,teammates,80,0.6625,0.9298,0.7737,results/s121ctl_extracts/luna/run2/teammates.json,eb00a78abecbd5a7
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run2,bigbluebutton,61,0.8033,0.7903,0.7967,results/s121ctl_extracts/luna/run2/bigbluebutton.json,b8373c8eea81e6f5
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run2,jabref,18,1.0000,1.0000,1.0000,results/s121ctl_extracts/luna/run2/jabref.json,9415d8afce9906fd
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run3,mediastore,33,0.9091,0.9677,0.9375,results/s121ctl_extracts/luna/run3/mediastore.json,153b1ee19a31df5b
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run3,teastore,28,0.9643,1.0000,0.9818,results/s121ctl_extracts/luna/run3/teastore.json,2a3b963c38ce7fc9
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run3,teammates,90,0.6222,0.9825,0.7619,results/s121ctl_extracts/luna/run3/teammates.json,f92ac5a3341797cf
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run3,bigbluebutton,78,0.7308,0.9194,0.8143,results/s121ctl_extracts/luna/run3/bigbluebutton.json,88d572b57152cfb8
model-doc,aalinker,luna_s121ctl,gpt-5.6-luna,full,run3,jabref,19,0.9474,1.0000,0.9730,results/s121ctl_extracts/luna/run3/jabref.json,c89e3068f0c708ff
