task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run1,mediastore,34,0.9118,1.0000,0.9538,results/s92a_extracts/luna/run1/mediastore.json,f9b3ef6aff579c91
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run1,teastore,28,0.9286,0.9630,0.9455,results/s92a_extracts/luna/run1/teastore.json,d163c97b1218e820
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run1,teammates,102,0.5490,0.9825,0.7044,results/s92a_extracts/luna/run1/teammates.json,931decbef316573b
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run1,bigbluebutton,95,0.6316,0.9677,0.7643,results/s92a_extracts/luna/run1/bigbluebutton.json,381be70dfdbc34b7
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run1,jabref,19,0.9474,1.0000,0.9730,results/s92a_extracts/luna/run1/jabref.json,7efadc38269066e5
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run2,mediastore,34,0.9118,1.0000,0.9538,results/s92a_extracts/luna/run2/mediastore.json,afa31871bed2607f
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run2,teastore,29,0.9310,1.0000,0.9643,results/s92a_extracts/luna/run2/teastore.json,98c1caa43b4bea60
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run2,teammates,99,0.5556,0.9649,0.7051,results/s92a_extracts/luna/run2/teammates.json,67d1ae50434c10a0
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run2,bigbluebutton,81,0.6667,0.8710,0.7552,results/s92a_extracts/luna/run2/bigbluebutton.json,591f8914ce1204c1
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run2,jabref,20,0.9000,1.0000,0.9474,results/s92a_extracts/luna/run2/jabref.json,1f19e4459d5e247a
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run3,mediastore,33,0.9091,0.9677,0.9375,results/s92a_extracts/luna/run3/mediastore.json,a342e6cd13997cb7
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run3,teastore,28,0.9643,1.0000,0.9818,results/s92a_extracts/luna/run3/teastore.json,f3c539484dfd1198
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run3,teammates,78,0.7308,1.0000,0.8444,results/s92a_extracts/luna/run3/teammates.json,26967177349856f4
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run3,bigbluebutton,81,0.7160,0.9355,0.8112,results/s92a_extracts/luna/run3/bigbluebutton.json,15c264e7c2786703
model-doc,aalinker,luna_s92a,gpt-5.6-luna,full,run3,jabref,20,0.9000,1.0000,0.9474,results/s92a_extracts/luna/run3/jabref.json,67933942a6006fc9
