model,encoding,strategy,cv_folds,cv_repeats,total_trials,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,random_f1_mean,random_f1_std,f1_improvement,wilcoxon_p_value,cohens_d,significantly_better_than_random,system,detector,text_source
logistic_regression,openai,random_undersample,5,2,10,0.645521750609576,0.0344316222737855,0.163319940133472,0.0107537184769616,0.598868778280543,0.0570314280106229,0.256082782472765,0.0148580862033585,0.0921338769962623,0.0309296072867855,0.163948905476503,0.0009765625,6.41035592718685,True,inkscape,acdc,combined
random_forest,openai,random_undersample,5,2,10,0.653407026044821,0.024772728720151,0.171858553187959,0.0094888874782329,0.627941176470588,0.0425806607981331,0.269581960463132,0.013223432235171,0.0921338769962623,0.0309296072867855,0.17744808346687,0.0009765625,7.0775073853483,True,inkscape,acdc,combined
svm,openai,random_undersample,5,2,10,0.689098293186724,0.0353487078179442,0.190011570705634,0.0149224869054988,0.622398190045249,0.0564161541831037,0.290244275700912,0.01746301294514,0.0921338769962623,0.0309296072867855,0.19811039870465,0.0009765625,7.48312719248549,True,inkscape,acdc,combined
knn,openai,random_undersample,5,2,10,0.646504837782851,0.041723857597029,0.171677124594245,0.0170927337871752,0.639630467571644,0.0657535267776613,0.269980188700268,0.0236181374195469,0.0921338769962623,0.0309296072867855,0.177846311704006,0.0009765625,6.1313010234953,True,inkscape,acdc,combined
naive_bayes,openai,random_undersample,5,2,10,0.646504449517775,0.0368139832272432,0.163609940502442,0.0150861752064246,0.594947209653092,0.0492960646123381,0.255983004499283,0.0190192648458992,0.0921338769962623,0.0309296072867855,0.16384912750302,0.0009765625,6.05426224206308,True,inkscape,acdc,combined
xgboost,openai,random_undersample,5,2,10,0.653013713522496,0.0261052439608817,0.168025411268891,0.0151134220090446,0.606410256410256,0.0415770108904358,0.262949186564002,0.0215094306244866,0.0921338769962623,0.0309296072867855,0.17081530956774,0.0009765625,6.08312195006304,True,inkscape,acdc,combined
feedforward_nn,openai,random_undersample,5,2,10,0.684942692074733,0.0887152881060713,0.198487469822103,0.0618637475885095,0.588914027149321,0.109647464279932,0.28238750137261,0.0310168110851896,0.0921338769962623,0.0309296072867855,0.190253624376348,0.0009765625,5.8273024250321,True,inkscape,acdc,combined
logistic_regression,tfidf,random_undersample,5,2,10,0.70919450527264,0.0315786628985229,0.182351198770236,0.0264391057136406,0.526960784313726,0.0701169410718183,0.270191369629536,0.0354032134545078,0.0921338769962623,0.0309296072867855,0.178057492633274,0.0009765625,5.08156640491852,True,inkscape,acdc,combined
random_forest,tfidf,random_undersample,5,2,10,0.650250819239311,0.0418844510970361,0.160578978383678,0.0236177421662534,0.571719457013575,0.0917126841912273,0.249757659436126,0.0339146331308393,0.0921338769962623,0.0309296072867855,0.157623782439864,0.0009765625,4.60725145736069,True,inkscape,acdc,combined
svm,tfidf,random_undersample,5,2,10,0.757509434841355,0.0333931033415845,0.206483681811758,0.0340226238244059,0.47658371040724,0.0820200236711352,0.286080433970479,0.04094849755831,0.0921338769962623,0.0309296072867855,0.193946556974216,0.0009765625,5.07058721547995,True,inkscape,acdc,combined
knn,tfidf,random_undersample,5,2,10,0.603120486418488,0.0407297434288812,0.143085206272994,0.0148470131412521,0.579374057315234,0.0849998942814048,0.228899071493888,0.02280347552733,0.0921338769962623,0.0309296072867855,0.136765194497626,0.0009765625,4.77501409155164,True,inkscape,acdc,combined
naive_bayes,tfidf,random_undersample,5,2,10,0.577508968923263,0.0431386506028844,0.158447153698336,0.0132156388467384,0.726696832579185,0.0729171242969432,0.259745061995923,0.0199785221906326,0.0921338769962623,0.0309296072867855,0.16761118499966,0.0009765625,6.10723067970779,True,inkscape,acdc,combined
xgboost,tfidf,random_undersample,5,2,10,0.627386277159142,0.0359325256963849,0.158198244259601,0.0142408167618935,0.612330316742082,0.0621571651537923,0.250983303435693,0.0207915715523123,0.0921338769962623,0.0309296072867855,0.15884942643943,0.0009765625,5.71849460646925,True,inkscape,acdc,combined
logistic_regression,sbert_avg,random_undersample,5,2,10,0.57769145350914,0.0215878301706862,0.137990921804803,0.0104164255717891,0.60237556561086,0.0737358840672425,0.224391276489183,0.0184613170516644,0.0921338769962623,0.0309296072867855,0.132257399492921,0.0009765625,4.92616668992096,True,inkscape,acdc,combined
random_forest,sbert_avg,random_undersample,5,2,10,0.605682647657209,0.0213733150616569,0.148017289944364,0.0112801600087294,0.604374057315234,0.0551056586165197,0.237630858053108,0.0178723751574379,0.0921338769962623,0.0309296072867855,0.145496981056846,0.0009765625,5.46454842076526,True,inkscape,acdc,combined
svm,sbert_avg,random_undersample,5,2,10,0.617327882091662,0.0342585182301326,0.147070525363305,0.015172996340553,0.571530920060332,0.0593323245672265,0.233587985387922,0.0223488472830286,0.0921338769962623,0.0309296072867855,0.141454108391659,0.0009765625,4.97341259730226,True,inkscape,acdc,combined
