backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
luna,run1,full_name,0,0,19,133,20
luna,run1,partial_name,5,3,52,23,30
luna,run1,coref,45,7,127,50,6
luna,run1,all_combined,50,10,185,173,54
luna,run2,full_name,0,0,21,133,18
luna,run2,partial_name,3,1,52,25,30
luna,run2,coref,45,5,117,65,11
luna,run2,all_combined,48,6,182,178,58
luna,run3,full_name,2,2,22,131,17
luna,run3,partial_name,4,2,53,24,29
luna,run3,coref,40,6,96,62,11
luna,run3,all_combined,45,9,163,177,55
luna,average,full_name,0.67,0.67,20.67,132.33,18.33
luna,average,partial_name,4,2,52.33,24,29.67
luna,average,coref,43.33,6,113.33,59,9.33
luna,average,all_combined,47.67,8.33,176.67,176,55.67
