variant,project,tp,fp,fn,f1,f2
Full,teastore,27,2,0,0.964286,0.985401
NoNameValid,teastore,27,6,0,0.900000,0.957447
NoCitation,teastore,27,14,0,0.794118,0.906040
NoValidator,teastore,27,18,0,0.750000,0.882353
