backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,0.934737,0.949061,0.864998,0.907860,0.881905,0.896149,0.773246,0.779358,0.911155,0.912757
terra,FullName,0.872781,0.844493,0.901373,0.803880,0.846619,0.819802,0.692781,0.625271,0.860112,0.817803
terra,PartialName,0.071251,0.053902,0.189700,0.023912,0.033855,0.027085,0.000000,0.000000,0.000000,0.000000
terra,Coref,0.275374,0.198607,0.891657,0.165405,0.270621,0.195650,0.013378,0.009042,0.027917,0.020921
terra,No knowledge,0.867590,0.830423,0.924507,0.706813,0.773400,0.727581,0.441611,0.410468,0.522174,0.508270
luna,Full,0.895301,0.919236,0.856060,0.895298,0.873489,0.885963,0.681067,0.731343,0.882410,0.898039
luna,FullName,0.851210,0.835959,0.870617,0.803589,0.831313,0.813539,0.676657,0.632828,0.849891,0.819671
luna,PartialName,0.042440,0.030655,0.089323,0.014441,0.024290,0.017225,0.000000,0.000000,0.000000,0.000000
luna,Coref,0.371699,0.288439,0.780205,0.216029,0.327349,0.249568,0.044083,0.030999,0.081665,0.062688
luna,No knowledge,0.841028,0.809417,0.943153,0.710278,0.781906,0.733471,0.407407,0.428687,0.510694,0.510407
