backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,0.942861,0.958813,0.869811,0.911046,0.884639,0.898827,0.781293,0.781831,0.913134,0.916584
terra,FullName,0.882286,0.853351,0.910466,0.806140,0.850274,0.822203,0.695041,0.624898,0.861907,0.819859
terra,PartialName,0.074366,0.056411,0.256627,0.025011,0.035129,0.028253,0.000000,0.000000,0.000000,0.000000
terra,Coref,0.236243,0.168461,0.755862,0.125948,0.210705,0.149949,0.000000,0.000000,0.000000,0.000000
terra,No knowledge,0.871241,0.832472,0.930977,0.701647,0.773371,0.724473,0.435262,0.403734,0.524527,0.507665
luna,Full,0.910841,0.919587,0.880933,0.893511,0.885939,0.890141,0.746061,0.735370,0.903604,0.901425
luna,FullName,0.862191,0.837974,0.882179,0.805359,0.838655,0.817690,0.725249,0.654865,0.863959,0.826565
luna,PartialName,0.044444,0.031008,0.137143,0.018836,0.033122,0.022763,0.000000,0.000000,0.000000,0.000000
luna,Coref,0.344994,0.264993,0.744794,0.199065,0.301692,0.229864,0.000000,0.000000,0.000000,0.000000
luna,No knowledge,0.841877,0.817426,0.945203,0.721735,0.794398,0.745827,0.390476,0.411111,0.496880,0.504767
